1,Anne,Buddington
2,Bink,Lippitt
3,Erny,Shepheard
4,Adelheid,Reddin
5,Dillie,Franchioni
6,Una,Tybalt
7,Joan,Stirland
8,Nissy,Anglim
9,Helaina,Puvia
10,Tyson,Blanchard
11,Aggy,Arend
12,Julie,Sammars
13,Demetri,Bean
14,Peri,Vagg
15,Lesli,Gai
16,Abdul,Begin
17,Abbot,Bolsteridge
18,Alec,Rossborough
19,Lambert,Routh
20,Jeffrey,Penley
21,Hartley,Bernuzzi
22,Garner,Circuitt
23,Winnifred,Vader
24,Cairistiona,Bims
25,Arabelle,Nicklinson
26,Winny,Siflet
27,Toddy,Ranfield
28,Hanan,Formie
29,Alf,Milmore
30,Randi,Patillo
31,Rem,Hallas
32,Phineas,Langtry
33,Madelyn,Suart
34,Emelyne,Rewan
35,Borg,Dawbery
36,Faustine,Seeborne
37,Carmen,Witcherley
38,Mycah,Radmer
39,Shalne,Moat
40,Jammal,Salerno
